fetched_at,base_currency,target_currency,rate,last_updated_utc
2026-05-20T01:48:04.110813,USD,INR,96.64931,"Wed, 20 May 2026 00:02:31 +0000"
2026-05-20T01:48:04.110833,USD,GBP,0.746281,"Wed, 20 May 2026 00:02:31 +0000"
2026-05-20T01:48:04.110841,USD,EUR,0.861198,"Wed, 20 May 2026 00:02:31 +0000"
2026-05-20T01:48:04.110848,USD,JPY,159.031908,"Wed, 20 May 2026 00:02:31 +0000"
2026-05-20T01:48:04.110855,USD,SGD,1.281475,"Wed, 20 May 2026 00:02:31 +0000"
2026-05-20T01:48:04.110862,USD,AED,3.6725,"Wed, 20 May 2026 00:02:31 +0000"
